epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,167.915,0.94074,5.97735,0.00654,0.50748,0.27233,0.38848,0.26642,0.87832,7.26287,0.00906,0.00066,0.00066,0.00066
2,329.339,1.09648,4.70176,0.0086,0.42342,0.43571,0.39653,0.28035,1.09844,5.17444,0.01154,0.00131353,0.00131353,0.00131353
3,487.369,1.19955,3.80284,0.0094,0.45966,0.42143,0.40554,0.27024,1.13038,3.92238,0.01308,0.00195387,0.00195387,0.00195387
4,653.723,1.21252,2.90482,0.00943,0.54118,0.33571,0.3987,0.2831,1.10792,3.22662,0.01361,0.0019406,0.0019406,0.0019406
5,808.478,1.20241,2.51908,0.00978,0.44857,0.42143,0.38937,0.24769,1.23679,2.85294,0.01427,0.0019208,0.0019208,0.0019208
6,962.763,1.2658,2.24001,0.00973,0.57093,0.43571,0.46164,0.30258,1.21961,2.26207,0.01372,0.001901,0.001901,0.001901
7,1115.61,1.28745,2.04308,0.01064,0.46168,0.55714,0.48152,0.32401,1.26136,2.06383,0.0155,0.0018812,0.0018812,0.0018812
8,1269.62,1.27284,1.95088,0.01067,0.42873,0.41429,0.3553,0.22458,1.25562,2.18419,0.01381,0.0018614,0.0018614,0.0018614
9,1422.69,1.2564,1.7747,0.00954,0.51424,0.52143,0.50735,0.33379,1.30408,1.8639,0.0156,0.0018416,0.0018416,0.0018416
10,1583.56,1.22499,1.72584,0.0097,0.60324,0.41269,0.4908,0.34266,1.2023,1.75661,0.01451,0.0018218,0.0018218,0.0018218
11,1741.81,1.17827,1.58813,0.01007,0.60253,0.5,0.54823,0.37263,1.1287,1.68567,0.01361,0.001802,0.001802,0.001802
12,1895.87,1.1483,1.52638,0.00932,0.72541,0.52143,0.59611,0.42265,1.16666,1.72478,0.01346,0.0017822,0.0017822,0.0017822
13,2054.79,1.20243,1.54962,0.00954,0.63332,0.53049,0.55048,0.37429,1.24859,1.74337,0.01332,0.0017624,0.0017624,0.0017624
14,2211.1,1.19033,1.48948,0.00928,0.50249,0.64286,0.57017,0.4116,1.10554,1.54598,0.01378,0.0017426,0.0017426,0.0017426
15,2365.09,1.1673,1.44511,0.00917,0.68508,0.59047,0.60952,0.42032,1.10666,1.42168,0.01408,0.0017228,0.0017228,0.0017228
16,2518.53,1.13204,1.33661,0.00891,0.62196,0.55,0.60834,0.42535,1.16312,1.44062,0.01294,0.001703,0.001703,0.001703
17,2674.74,1.08719,1.20586,0.00894,0.69092,0.6,0.658,0.46162,1.16059,1.46143,0.01282,0.0016832,0.0016832,0.0016832
18,2827.67,1.10643,1.24762,0.00874,0.65133,0.58571,0.63005,0.43854,1.1652,1.38386,0.01392,0.0016634,0.0016634,0.0016634
19,2981.18,1.08456,1.26267,0.00843,0.60407,0.64286,0.63803,0.42975,1.09269,1.38405,0.01249,0.0016436,0.0016436,0.0016436
20,3133.88,1.07137,1.20867,0.00845,0.75689,0.62143,0.68624,0.48521,1.15894,1.26542,0.01413,0.0016238,0.0016238,0.0016238
21,3287.97,1.0385,1.14159,0.00767,0.70053,0.6,0.66273,0.49698,1.05851,1.31475,0.01363,0.001604,0.001604,0.001604
22,3443.05,1.05522,1.10439,0.00758,0.82383,0.52143,0.64213,0.45518,1.14617,1.50506,0.01276,0.0015842,0.0015842,0.0015842
23,3598.55,1.00954,1.10533,0.00757,0.57352,0.65317,0.67542,0.48402,1.05384,1.25235,0.01277,0.0015644,0.0015644,0.0015644
24,3751.85,1.01964,1.14134,0.00848,0.67389,0.57566,0.68824,0.49829,1.00517,1.1914,0.01125,0.0015446,0.0015446,0.0015446
25,3904.77,1.01553,1.12016,0.00801,0.89342,0.57143,0.73093,0.52816,1.07185,1.02596,0.01208,0.0015248,0.0015248,0.0015248
26,4058.34,1.02438,1.0572,0.00816,0.64477,0.64824,0.67781,0.47598,1.06419,1.18074,0.01294,0.001505,0.001505,0.001505
27,4213.81,1.02844,1.08208,0.00832,0.762,0.66321,0.73442,0.5408,0.93924,1.1612,0.01055,0.0014852,0.0014852,0.0014852
