epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,159.562,0.86332,0.81042,0.00612,0.78647,0.68571,0.75022,0.56904,0.90714,0.96694,0.00992,0.00066,0.00066,0.00066
2,324.693,0.90344,0.85746,0.00709,0.7429,0.63983,0.71599,0.52839,1.00112,1.08379,0.01138,0.001261,0.001261,0.001261
3,494.157,0.98199,0.96036,0.00758,0.74274,0.57743,0.69686,0.5007,0.97917,1.25184,0.01206,0.00179599,0.00179599,0.00179599
4,658.449,0.96694,0.98891,0.00767,0.65908,0.63521,0.68075,0.49543,0.98867,1.11613,0.011,0.001703,0.001703,0.001703
5,820.985,0.98466,0.93708,0.00773,0.73035,0.56429,0.62585,0.45249,1.00072,1.35946,0.011,0.001604,0.001604,0.001604
6,988.559,0.9456,0.94685,0.00717,0.76149,0.46429,0.608,0.41788,1.14084,1.37593,0.01361,0.001505,0.001505,0.001505
7,1154.1,0.96996,0.91941,0.00776,0.71184,0.66429,0.72035,0.52765,0.98942,1.18175,0.01012,0.001406,0.001406,0.001406
8,1317.44,0.93878,0.88522,0.00737,0.75009,0.60714,0.68327,0.50973,0.93934,1.17672,0.0115,0.001307,0.001307,0.001307
9,1477.27,0.91417,0.80998,0.00668,0.73654,0.7,0.75998,0.57991,0.88865,0.97645,0.00929,0.001208,0.001208,0.001208
10,1635.94,0.88374,0.81667,0.00659,0.72891,0.6,0.68292,0.52113,0.88932,1.14672,0.01017,0.001109,0.001109,0.001109
11,1792.54,0.81391,0.73057,0.00738,0.70257,0.67491,0.69455,0.50838,1.06562,1.15612,0.01225,0.00101,0.00101,0.00101
12,1947.84,0.82162,0.61459,0.00715,0.79329,0.71271,0.76895,0.56074,1.10249,0.99692,0.01199,0.000911,0.000911,0.000911
13,2104.24,0.72099,0.53196,0.00601,0.78737,0.67857,0.76357,0.56701,1.03016,1.01358,0.01151,0.000812,0.000812,0.000812
14,2260.91,0.72135,0.50856,0.00595,0.83663,0.69502,0.76888,0.61021,0.91003,0.94327,0.00941,0.000713,0.000713,0.000713
15,2419.17,0.68454,0.46647,0.00519,0.7754,0.71516,0.76849,0.61465,0.81692,0.94962,0.00836,0.000614,0.000614,0.000614
16,2576.6,0.6633,0.44567,0.0052,0.85858,0.65,0.7664,0.62388,0.7873,0.94384,0.00817,0.000515,0.000515,0.000515
17,2734.41,0.65437,0.46793,0.00505,0.89001,0.68571,0.7941,0.64454,0.81857,0.89185,0.00825,0.000416,0.000416,0.000416
18,2892.28,0.63074,0.4324,0.00493,0.86536,0.67857,0.77464,0.63359,0.79209,0.94123,0.00819,0.000317,0.000317,0.000317
19,3050.15,0.60605,0.41621,0.00447,0.88364,0.70714,0.79905,0.65837,0.77303,0.87844,0.00773,0.000218,0.000218,0.000218
20,3210.34,0.59455,0.40377,0.00443,0.85613,0.72143,0.79793,0.65812,0.75915,0.88559,0.00764,0.000119,0.000119,0.000119
